Time µs,Current.Ia,Current.Ib,Current.Ic,Current.In,Voltage.Va,Voltage.Vb,Voltage.Vc
1163462400000000000,-189.511672973633,-1096.51171875,1259.65637207031,0.0,648.230346679688,-9954.951171875,10436.4375
1163462400000130048,-142.133758544922,-1132.07421875,1212.34533691406,5.91223001480103,1165.06262207031,-10233.8994140625,10191.9013671875
1163462400000260096,-100.678077697754,-1143.92834472656,1153.20654296875,0.0,1603.05615234375,-10434.392578125,9842.564453125
1163462400000389888,-47.3779182434082,-1173.56384277344,1094.06774902344,0.0,2058.5693359375,-10634.88671875,9475.7607421875
1163462400000519936,5.92223978042603,-1197.27221679688,1040.84289550781,5.91223001480103,2479.04296875,-10722.0576171875,9100.2236328125
1163462400000651008,71.0668792724609,-1226.90771484375,981.704040527344,5.91223001480103,2917.03662109375,-10765.6435546875,8672.2861328125
1163462400000781056,153.978240966797,-1262.47021484375,916.6513671875,0.0,3346.27026367188,-10835.380859375,8244.3486328125
1163462400000911104,225.045104980469,-1298.03271484375,857.512573242188,0.0,3775.50390625,-10852.814453125,7755.27734375
1163462400001040896,302.034240722656,-1333.59533691406,798.373779296875,5.91223001480103,4213.4970703125,-10922.5517578125,7222.53857421875
1163462400001170944,384.945587158203,-1369.15783691406,739.234985351563,5.91223001480103,4669.01025390625,-10966.13671875,6672.3330078125
1163462400001302016,467.85693359375,-1404.72033691406,680.09619140625,0.0,5142.04345703125,-10983.5712890625,6078.46044921875
1163462400001432064,538.923828125,-1440.28295898438,632.78515625,5.91223001480103,5650.11572265625,-10992.2880859375,5467.12109375
1163462400001562112,621.835205078125,-1469.91833496094,585.47412109375,5.91223001480103,6166.9482421875,-11001.005859375,4829.58154296875
1163462400001691904,686.979797363281,-1499.55383300781,549.990844726563,0.0,6666.2607421875,-10992.2880859375,4209.5087890625
1163462400001821952,746.202209472656,-1517.33508300781,508.593658447266,0.0,7165.5732421875,-10966.13671875,3598.16918945313
1163462400001953024,799.502380371094,-1523.26220703125,473.110382080078,5.91223001480103,7629.84619140625,-10939.9853515625,2986.82983398438
1163462400002083072,846.880310058594,-1523.26220703125,443.540985107422,5.91223001480103,8076.599609375,-10887.6826171875,2401.69067382813
1163462400002213120,900.180419921875,-1523.26220703125,402.143829345703,5.91223001480103,8497.0732421875,-10826.6630859375,1842.75170898438
1163462400002342912,935.7138671875,-1499.55383300781,366.660552978516,11.8244600296021,8891.267578125,-10765.6435546875,1283.81274414063
1163462400002472960,971.247314453125,-1475.84545898438,331.177276611328,5.91223001480103,9259.1826171875,-10669.7548828125,733.607299804688
1163462400002604032,1000.85852050781,-1440.28295898438,295.694000244141,0.0,9600.8173828125,-10547.7158203125,174.668411254883
1163462400002734080,1030.4697265625,-1404.72033691406,248.382949829102,5.91223001480103,9924.9326171875,-10390.8076171875,-366.803649902344
1163462400002864128,1054.15869140625,-1345.44946289063,206.985794067383,-5.91223001480103,10231.52734375,-10155.4453125,-925.742553710938
1163462400002993920,1066.00317382813,-1286.17858886719,153.760879516602,0.0,10485.5634765625,-9850.345703125,-1414.81408691406
1163462400003124992,1089.69213867188,-1232.83471679688,100.535957336426,0.0,10722.080078125,-9527.8125,-1877.68542480469
1163462400003255040,1101.53662109375,-1167.63671875,41.397159576416,0.0,10853.478515625,-9170.41015625,-2314.3564453125
1163462400003385088,1131.14782714844,-1096.51171875,-29.5693988800049,0.0,10888.517578125,-8795.57421875,-2785.96118164063
1163462400003514880,1154.83679199219,-1025.38659667969,-100.535957336426,0.0,10923.5576171875,-8394.5869140625,-3248.83227539063
1163462400003644928,1184.44799804688,-960.188598632813,-171.502517700195,0.0,10976.1162109375,-7958.73095703125,-3685.50341796875
1163462400003776000,1214.05920410156,-894.990600585938,-260.210723876953,0.0,11019.916015625,-7453.1376953125,-4130.90771484375
1163462400003906048,1243.67041015625,-823.865539550781,-337.091156005859,0.0,11063.71484375,-6886.52490234375,-4585.0458984375
1163462400004036096,1273.28149414063,-758.667541503906,-419.885467529297,-5.91223001480103,11098.7548828125,-6285.04345703125,-5047.9169921875
1163462400004165888,1302.89270019531,-693.469543457031,-502.679779052734,0.0,11125.0341796875,-5657.4111328125,-5554.45556640625
1163462400004295936,1332.50390625,-646.052856445313,-573.646362304688,0.0,11142.5537109375,-4977.4755859375,-6087.19384765625
1163462400004427008,1350.27062988281,-592.709045410156,-644.612915039063,0.0,11151.314453125,-4323.69140625,-6611.19921875
1163462400004557056,1368.03735351563,-551.219360351563,-715.579467773438,0.0,11133.7939453125,-3687.341796875,-7117.73779296875
1163462400004687104,1373.95959472656,-515.656860351563,-768.804382324219,0.0,11072.4755859375,-3050.99194335938,-7624.27587890625
1163462400004816896,1379.8818359375,-491.948486328125,-810.201538085938,0.0,11037.435546875,-2493.09643554688,-8026.01318359375
1163462400004946944,1373.95959472656,-444.531768798828,-851.598693847656,-5.91223001480103,10984.8759765625,-1909.04931640625,-8445.2177734375
1163462400005078016,1362.11511230469,-414.896301269531,-898.909729003906,0.0,10914.7978515625,-1359.87072753906,-8838.2216796875
