Time µs,Current.Ia,Current.Ib,Current.Ic,Voltage.Va,Voltage.Vb,Voltage.Vc
1133827200000000000,-1208.49609375,50.048828125,1043.701171875,-10205.078125,-6445.3125,17028.80859375
1133827200000065024,-1208.49609375,50.048828125,1043.701171875,-9973.14453125,-6933.59375,16918.9453125
1133827200000130048,-1156.005859375,1.220703125,1098.6328125,-9484.86328125,-7324.21875,17126.46484375
1133827200000194944,-1156.005859375,1.220703125,1098.6328125,-9204.1015625,-7714.84375,17077.63671875
1133827200000259968,-1147.4609375,-59.814453125,1125.48828125,-8740.234375,-7983.3984375,17114.2578125
1133827200000324992,-1147.4609375,-59.814453125,1125.48828125,-8532.71484375,-8618.1640625,17114.2578125
1133827200000390016,-1110.83984375,-112.3046875,1170.654296875,-8044.43359375,-8813.4765625,17224.12109375
1133827200000455040,-1110.83984375,-112.3046875,1170.654296875,-7800.29296875,-9216.30859375,17077.63671875
1133827200000519936,-1072.998046875,-166.015625,1230.46875,-7336.42578125,-9509.27734375,17285.15625
1133827200000584960,-1072.998046875,-166.015625,1230.46875,-6994.62890625,-9997.55859375,16906.73828125
1133827200000651008,-1049.8046875,-258.7890625,1228.02734375,-6555.17578125,-10388.18359375,17028.80859375
1133827200000716032,-1049.8046875,-258.7890625,1228.02734375,-6140.13671875,-10632.32421875,16967.7734375
1133827200000781056,-1002.197265625,-272.216796875,1258.544921875,-5932.6171875,-10864.2578125,16918.9453125
1133827200000845952,-1002.197265625,-272.216796875,1258.544921875,-5407.71484375,-11218.26171875,16833.49609375
1133827200000910976,-947.265625,-314.94140625,1303.7109375,-5041.50390625,-11560.05859375,16784.66796875
1133827200000976000,-947.265625,-314.94140625,1303.7109375,-4602.05078125,-11865.234375,16699.21875
1133827200001041024,-921.630859375,-385.7421875,1302.490234375,-4235.83984375,-12097.16796875,16674.8046875
1133827200001106048,-921.630859375,-385.7421875,1302.490234375,-3906.25,-12463.37890625,16308.59375
1133827200001170944,-875.244140625,-426.025390625,1335.44921875,-3479.00390625,-12658.69140625,16369.62890625
